  1000ce:   8b 1c cd 00 12 10 00                  movl 0x101200(,%ecx,8),%ebx
  1000d5:   8b 34 cd 04 12 10 00                  movl 0x101204(,%ecx,8),%esi
  1000dc:   89 5c 24 10                           movl %ebx,0x10(%esp)
  1000e0:   89 74 24 14                           movl %esi,0x14(%esp)
  1000e4:   8b 5c 24 10                           movl 0x10(%esp),%ebx
  1000e8:   31 c3                                 xorl %eax,%ebx
  1000ea:   8b 74 24 14                           movl 0x14(%esp),%esi
  1000ee:   31 d6                                 xorl %edx,%esi
  1000f0:   89 d8                                 movl %ebx,%eax
  1000f2:   09 f0                                 orl %esi,%eax
  1000f4:   85 c0                                 testl %eax,%eax
  1000f6:   0f 95 c0                              testl %eax,%eax
  1000f9:   83 44 24 24 01                        addl $0x1,0x24(%esp)
  1000fe:   84 c0                                 testb %al,%al
  100100:   74 06                                 jeb $0x6
  100108:   83 44 24 28 01                        addl $0x1,0x28(%esp)
  10010d:   8b 44 24 28                           movl 0x28(%esp),%eax
  100111:   83 f8 07                              cmpl $0x7,%eax
  100114:   0f 86 68 ff ff ff                     jbel $0xffffff68
  100082:   8b 44 24 28                           movl 0x28(%esp),%eax
  100086:   8b 14 c5 c0 11 10 00                  movl 0x1011c0(,%eax,8),%edx
  10008d:   8b 0c c5 c4 11 10 00                  movl 0x1011c4(,%eax,8),%ecx
  100094:   89 54 24 18                           movl %edx,0x18(%esp)
  100098:   89 4c 24 1c                           movl %ecx,0x1c(%esp)
  10009c:   8b 44 24 2c                           movl 0x2c(%esp),%eax
  1000a0:   8b 14 c5 c4 11 10 00                  movl 0x1011c4(,%eax,8),%edx
  1000a7:   8b 04 c5 c0 11 10 00                  movl 0x1011c0(,%eax,8),%eax
  1000ae:   8b 4c 24 18                           movl 0x18(%esp),%ecx
  1000b2:   8b 5c 24 1c                           movl 0x1c(%esp),%ebx
  1000b6:   89 4c 24 08                           movl %ecx,0x8(%esp)
  1000ba:   89 5c 24 0c                           movl %ebx,0xc(%esp)
  1000be:   89 04 24                              movl %eax,(%esp)
  1000c1:   89 54 24 04                           movl %edx,0x4(%esp)
  1000c5:   e8 4a ff ff ff                        calll $0xffffff4a
  100014:   55                                    pushl %ebp
  100015:   89 e5                                 movl %esp,%ebp
  100017:   53                                    pushl %ebx
  100018:   83 ec 24                              subl $0x24,%esp
  10001b:   8b 45 08                              movl 0x8(%ebp),%eax
  10001e:   89 45 e0                              movl %eax,-0x20(%ebp)
  100021:   8b 45 0c                              movl 0xc(%ebp),%eax
  100024:   89 45 e4                              movl %eax,-0x1c(%ebp)
  100027:   8b 45 10                              movl 0x10(%ebp),%eax
  10002a:   89 45 d8                              movl %eax,-0x28(%ebp)
  10002d:   8b 45 14                              movl 0x14(%ebp),%eax
  100030:   89 45 dc                              movl %eax,-0x24(%ebp)
  100033:   8b 45 d8                              movl -0x28(%ebp),%eax
  100036:   8b 55 dc                              movl -0x24(%ebp),%edx
  100039:   8b 4d e0                              movl -0x20(%ebp),%ecx
  10003c:   8b 5d e4                              movl -0x1c(%ebp),%ebx
  10003f:   01 c8                                 addl %ecx,%eax
  100041:   11 da                                 adcl %ebx,%edx
  100043:   89 45 f0                              movl %eax,-0x10(%ebp)
  100046:   89 55 f4                              movl %edx,-0xc(%ebp)
  100049:   8b 45 f0                              movl -0x10(%ebp),%eax
  10004c:   8b 55 f4                              movl -0xc(%ebp),%edx
  10004f:   83 c4 24                              addl $0x24,%esp
  100052:   5b                                    popl %ebx
  100053:   5d                                    popl %ebp
  100054:   c3                                    ret
  1000ca:   8b 4c 24 24                           movl 0x24(%esp),%ecx
  1000ce:   8b 1c cd 00 12 10 00                  movl 0x101200(,%ecx,8),%ebx
  1000d5:   8b 34 cd 04 12 10 00                  movl 0x101204(,%ecx,8),%esi
  1000dc:   89 5c 24 10                           movl %ebx,0x10(%esp)
  1000e0:   89 74 24 14                           movl %esi,0x14(%esp)
  1000e4:   8b 5c 24 10                           movl 0x10(%esp),%ebx
  1000e8:   31 c3                                 xorl %eax,%ebx
  1000ea:   8b 74 24 14                           movl 0x14(%esp),%esi
  1000ee:   31 d6                                 xorl %edx,%esi
  1000f0:   89 d8                                 movl %ebx,%eax
  1000f2:   09 f0                                 orl %esi,%eax
  1000f4:   85 c0                                 testl %eax,%eax
  1000f6:   0f 95 c0                              testl %eax,%eax
  1000f9:   83 44 24 24 01                        addl $0x1,0x24(%esp)
  1000fe:   84 c0                                 testb %al,%al
  100100:   74 06                                 jeb $0x6
  100108:   83 44 24 28 01                        addl $0x1,0x28(%esp)
  10010d:   8b 44 24 28                           movl 0x28(%esp),%eax
  100111:   83 f8 07                              cmpl $0x7,%eax
  100114:   0f 86 68 ff ff ff                     jbel $0xffffff68
  100082:   8b 44 24 28                           movl 0x28(%esp),%eax
  100086:   8b 14 c5 c0 11 10 00                  movl 0x1011c0(,%eax,8),%edx
  10008d:   8b 0c c5 c4 11 10 00                  movl 0x1011c4(,%eax,8),%ecx
  100094:   89 54 24 18                           movl %edx,0x18(%esp)
  100098:   89 4c 24 1c                           movl %ecx,0x1c(%esp)
  10009c:   8b 44 24 2c                           movl 0x2c(%esp),%eax
  1000a0:   8b 14 c5 c4 11 10 00                  movl 0x1011c4(,%eax,8),%edx
  1000a7:   8b 04 c5 c0 11 10 00                  movl 0x1011c0(,%eax,8),%eax
  1000ae:   8b 4c 24 18                           movl 0x18(%esp),%ecx
  1000b2:   8b 5c 24 1c                           movl 0x1c(%esp),%ebx
  1000b6:   89 4c 24 08                           movl %ecx,0x8(%esp)
  1000ba:   89 5c 24 0c                           movl %ebx,0xc(%esp)
  1000be:   89 04 24                              movl %eax,(%esp)
  1000c1:   89 54 24 04                           movl %edx,0x4(%esp)
  1000c5:   e8 4a ff ff ff                        calll $0xffffff4a
  100014:   55                                    pushl %ebp
  100015:   89 e5                                 movl %esp,%ebp
  100017:   53                                    pushl %ebx
  100018:   83 ec 24                              subl $0x24,%esp
  10001b:   8b 45 08                              movl 0x8(%ebp),%eax
  10001e:   89 45 e0                              movl %eax,-0x20(%ebp)
  100021:   8b 45 0c                              movl 0xc(%ebp),%eax
  100024:   89 45 e4                              movl %eax,-0x1c(%ebp)
  100027:   8b 45 10                              movl 0x10(%ebp),%eax
  10002a:   89 45 d8                              movl %eax,-0x28(%ebp)
  10002d:   8b 45 14                              movl 0x14(%ebp),%eax
  100030:   89 45 dc                              movl %eax,-0x24(%ebp)
  100033:   8b 45 d8                              movl -0x28(%ebp),%eax
  100036:   8b 55 dc                              movl -0x24(%ebp),%edx
  100039:   8b 4d e0                              movl -0x20(%ebp),%ecx
  10003c:   8b 5d e4                              movl -0x1c(%ebp),%ebx
  10003f:   01 c8                                 addl %ecx,%eax
  100041:   11 da                                 adcl %ebx,%edx
  100043:   89 45 f0                              movl %eax,-0x10(%ebp)
  100046:   89 55 f4                              movl %edx,-0xc(%ebp)
  100049:   8b 45 f0                              movl -0x10(%ebp),%eax
  10004c:   8b 55 f4                              movl -0xc(%ebp),%edx
  10004f:   83 c4 24                              addl $0x24,%esp
  100052:   5b                                    popl %ebx
  100053:   5d                                    popl %ebp
  100054:   c3                                    ret
  1000ca:   8b 4c 24 24                           movl 0x24(%esp),%ecx
  1000ce:   8b 1c cd 00 12 10 00                  movl 0x101200(,%ecx,8),%ebx
  1000d5:   8b 34 cd 04 12 10 00                  movl 0x101204(,%ecx,8),%esi
  1000dc:   89 5c 24 10                           movl %ebx,0x10(%esp)
  1000e0:   89 74 24 14                           movl %esi,0x14(%esp)
  1000e4:   8b 5c 24 10                           movl 0x10(%esp),%ebx
  1000e8:   31 c3                                 xorl %eax,%ebx
  1000ea:   8b 74 24 14                           movl 0x14(%esp),%esi
  1000ee:   31 d6                                 xorl %edx,%esi
  1000f0:   89 d8                                 movl %ebx,%eax
  1000f2:   09 f0                                 orl %esi,%eax
  1000f4:   85 c0                                 testl %eax,%eax
  1000f6:   0f 95 c0                              testl %eax,%eax
  1000f9:   83 44 24 24 01                        addl $0x1,0x24(%esp)
  1000fe:   84 c0                                 testb %al,%al
  100100:   74 06                                 jeb $0x6
  100108:   83 44 24 28 01                        addl $0x1,0x28(%esp)
  10010d:   8b 44 24 28                           movl 0x28(%esp),%eax
  100111:   83 f8 07                              cmpl $0x7,%eax
  100114:   0f 86 68 ff ff ff                     jbel $0xffffff68
  100082:   8b 44 24 28                           movl 0x28(%esp),%eax
  100086:   8b 14 c5 c0 11 10 00                  movl 0x1011c0(,%eax,8),%edx
  10008d:   8b 0c c5 c4 11 10 00                  movl 0x1011c4(,%eax,8),%ecx
  100094:   89 54 24 18                           movl %edx,0x18(%esp)
  100098:   89 4c 24 1c                           movl %ecx,0x1c(%esp)
  10009c:   8b 44 24 2c                           movl 0x2c(%esp),%eax
  1000a0:   8b 14 c5 c4 11 10 00                  movl 0x1011c4(,%eax,8),%edx
  1000a7:   8b 04 c5 c0 11 10 00                  movl 0x1011c0(,%eax,8),%eax
  1000ae:   8b 4c 24 18                           movl 0x18(%esp),%ecx
  1000b2:   8b 5c 24 1c                           movl 0x1c(%esp),%ebx
  1000b6:   89 4c 24 08                           movl %ecx,0x8(%esp)
  1000ba:   89 5c 24 0c                           movl %ebx,0xc(%esp)
  1000be:   89 04 24                              movl %eax,(%esp)
  1000c1:   89 54 24 04                           movl %edx,0x4(%esp)
  1000c5:   e8 4a ff ff ff                        calll $0xffffff4a
  100014:   55                                    pushl %ebp
  100015:   89 e5                                 movl %esp,%ebp
  100017:   53                                    pushl %ebx
  100018:   83 ec 24                              subl $0x24,%esp
  10001b:   8b 45 08                              movl 0x8(%ebp),%eax
  10001e:   89 45 e0                              movl %eax,-0x20(%ebp)
  100021:   8b 45 0c                              movl 0xc(%ebp),%eax
  100024:   89 45 e4                              movl %eax,-0x1c(%ebp)
  100027:   8b 45 10                              movl 0x10(%ebp),%eax
  10002a:   89 45 d8                              movl %eax,-0x28(%ebp)
  10002d:   8b 45 14                              movl 0x14(%ebp),%eax
  100030:   89 45 dc                              movl %eax,-0x24(%ebp)
  100033:   8b 45 d8                              movl -0x28(%ebp),%eax
  100036:   8b 55 dc                              movl -0x24(%ebp),%edx
  100039:   8b 4d e0                              movl -0x20(%ebp),%ecx
  10003c:   8b 5d e4                              movl -0x1c(%ebp),%ebx
  10003f:   01 c8                                 addl %ecx,%eax
  100041:   11 da                                 adcl %ebx,%edx
  100043:   89 45 f0                              movl %eax,-0x10(%ebp)
  100046:   89 55 f4                              movl %edx,-0xc(%ebp)
  100049:   8b 45 f0                              movl -0x10(%ebp),%eax
  10004c:   8b 55 f4                              movl -0xc(%ebp),%edx
  10004f:   83 c4 24                              addl $0x24,%esp
  100052:   5b                                    popl %ebx
